transaction_id,date,time,description,payee,amount,channel
TXN-A-0001,2023-12-01,10:01:47,Grocery purchase,Supermarket,52.45,UPI
TXN-A-0002,2023-12-01,13:15:14,Monthly utility bill,Electric_Corp,42.93,netbanking
TXN-A-0003,2023-12-01,11:47:06,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0004,2023-12-01,17:05:37,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0005,2023-12-01,15:02:01,Monthly rent,Landlord,60.0,netbanking
TXN-A-0006,2023-12-01,10:13:14,Internet subscription,ISP,41.49,card
TXN-A-0007,2024-01-02,16:28:07,Internet subscription,ISP,55.0,UPI
TXN-A-0008,2024-01-02,13:01:37,Monthly utility bill,Electric_Corp,56.51,UPI
TXN-A-0009,2024-01-03,11:00:04,Monthly rent,Landlord,60.0,UPI
TXN-A-0010,2024-01-04,11:04:57,Internet subscription,ISP,53.14,card
TXN-A-0011,2024-01-06,09:32:15,Grocery purchase,Supermarket,38.05,card
TXN-A-0012,2024-01-06,11:34:08,Transit fare,Metro_Transit,25.0,card
TXN-A-0013,2024-01-08,17:36:30,Internet subscription,ISP,48.63,netbanking
TXN-A-0014,2024-01-09,20:26:12,Monthly utility bill,Electric_Corp,40.0,card
TXN-A-0015,2024-01-10,14:22:27,Grocery purchase,Supermarket,30.0,UPI
TXN-A-0016,2024-01-11,19:03:43,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0017,2024-01-12,09:03:25,Internet subscription,ISP,30.0,netbanking
TXN-A-0018,2024-01-14,09:15:12,Internet subscription,ISP,49.71,UPI
TXN-A-0019,2024-01-14,10:27:11,Monthly utility bill,Electric_Corp,40.0,UPI
TXN-A-0020,2024-01-15,09:28:51,Transit fare,Metro_Transit,23.82,UPI
TXN-A-0021,2024-01-16,18:34:53,Monthly rent,Landlord,66.98,UPI
TXN-A-0022,2024-01-16,20:54:15,Grocery purchase,Supermarket,41.61,netbanking
TXN-A-0023,2024-01-17,15:13:55,Monthly utility bill,Electric_Corp,46.01,UPI
TXN-A-0024,2024-01-18,10:24:00,Coffee and snack,Corner_Cafe,20.0,netbanking
TXN-A-0025,2024-01-18,20:50:29,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0026,2024-01-21,19:50:35,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0027,2024-01-25,10:12:18,Internet subscription,ISP,30.0,card
TXN-A-0028,2024-01-25,17:47:34,Monthly utility bill,Electric_Corp,50.64,netbanking
TXN-A-0029,2024-01-26,08:03:37,Grocery purchase,Supermarket,35.99,card
TXN-A-0030,2024-01-27,16:10:03,Coffee and snack,Corner_Cafe,20.0,UPI
